
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
									1979-08-20T16:50:00.000	1	184	1	.249	1	281	1
									1979-08-20T17:05:00.000	1	184	1	.249	1	284	1
									1979-08-20T17:20:00.000	1	184	1	.298	1	290	1
									1979-08-20T17:35:00.000	1	184	1	.307	1	290	1
									1979-08-20T17:50:00.000	1	184	1	.301	1	287	1
									1979-08-20T18:05:00.000	1	184	1	.298	1	278	1
									1979-08-20T18:20:00.000	1	184	1	.292	1	273	1
									1979-08-20T18:35:00.000	1	184	1	.324	1	96	3
									1979-08-20T18:50:00.000	1	184	1	.257	1	155	3
									1979-08-20T19:05:00.000	1	184	1	.223	1	39	3
									1979-08-20T19:20:00.000	1	184	1	.135	1	56	1
									1979-08-20T19:35:00.000	1	184	1	.266	1	93	1
									1979-08-20T19:50:00.000	1	184	1	.406	3	293	1
									1979-08-20T20:05:00.000	1	184	1	.246	3	312	3
									1979-08-20T20:20:00.000	1	184	1	.452	1	278	1
									1979-08-20T20:35:00.000	1	184	1	.394	1	124	3
